temperature_c,humidity_pct,distance_mm_day,tilt_deg,risk_level
27.79,67.48,0.167,-1.463,SAFE
22.48,82.55,1.275,-1.655,WARNING
24.07,70.38,0.089,0.072,SAFE
25.99,76.54,0.195,-0.354,SAFE
27.93,62.16,0.117,0.006,SAFE
23.56,74.0,2.163,0.756,WARNING
24.44,68.35,0.061,-0.442,SAFE
21.68,53.59,0.189,-1.498,SAFE
21.41,68.82,1.213,1.636,WARNING
27.44,53.1,2.289,-0.798,WARNING
29.07,57.41,0.196,-0.847,SAFE
24.78,67.27,1.158,0.883,WARNING
28.01,68.57,0.139,-0.308,SAFE
26.08,50.73,0.107,-0.051,SAFE
23.06,77.65,0.325,0.386,SAFE
26.08,71.86,0.025,0.867,SAFE
29.61,56.54,0.038,-0.267,SAFE
24.89,46.55,4.111,1.216,WARNING
29.69,63.26,1.473,-1.709,WARNING
17.14,59.65,0.194,0.608,SAFE
27.47,66.36,0.148,-0.672,SAFE
25.26,60.64,0.101,1.098,SAFE
24.1,40.91,0.139,0.114,SAFE
25.28,60.34,0.229,-0.538,SAFE
19.04,61.33,0.095,0.53,SAFE
24.34,72.6,0.171,0.715,SAFE
26.07,56.62,0.181,0.514,SAFE
29.43,85.14,0.777,-0.824,WARNING
23.45,42.06,2.615,-0.387,WARNING
22.57,80.73,0.087,-0.003,SAFE
23.49,62.31,0.069,-0.033,SAFE
27.75,75.32,2.851,0.6,WARNING
25.99,65.96,1.916,-1.612,WARNING
23.41,78.67,0.068,0.267,SAFE
26.54,60.35,0.175,-0.232,SAFE
25.29,51.82,0.135,-0.671,SAFE
27.91,82.05,0.5,-0.594,WARNING
22.89,63.64,4.966,-0.172,WARNING
24.02,67.66,2.211,-2.881,WARNING
23.82,79.82,0.157,-0.561,SAFE
20.61,52.62,0.196,-0.701,SAFE
25.89,72.15,0.058,0.426,SAFE
25.78,57.92,0.091,-0.644,SAFE
25.02,63.41,0.076,-0.172,SAFE
24.3,65.87,0.171,1.234,SAFE
20.75,47.0,0.065,0.795,SAFE
23.74,55.65,0.219,0.722,SAFE
23.97,81.21,0.108,-0.4,SAFE
22.59,75.63,0.089,0.434,SAFE
24.52,64.25,0.135,-0.187,SAFE
26.21,67.92,0.109,-0.157,SAFE
30.66,61.47,0.069,0.328,SAFE
25.52,81.28,3.522,-0.478,WARNING
25.77,62.6,0.142,1.194,SAFE
24.78,67.78,0.293,-0.128,SAFE
19.24,78.75,0.082,0.495,SAFE
24.92,55.67,3.819,1.164,WARNING
25.18,83.71,1.456,0.825,WARNING
32.39,46.63,2.985,-1.127,WARNING
24.42,84.56,0.065,0.356,SAFE
25.9,60.53,0.251,0.681,SAFE
24.9,62.09,2.364,0.713,WARNING
21.49,42.32,0.132,-0.891,SAFE
28.43,59.54,1.007,-0.526,WARNING
27.26,52.52,0.146,0.796,SAFE
27.37,57.71,3.447,-0.609,WARNING
22.27,63.35,0.101,-0.24,SAFE
29.21,76.49,0.136,1.261,SAFE
20.79,67.49,0.105,-0.038,SAFE
26.76,68.69,0.105,-0.581,SAFE
31.57,51.85,2.628,-0.702,WARNING
22.03,54.43,0.077,0.266,SAFE
23.3,86.58,2.245,-1.067,WARNING
25.3,56.18,0.232,-0.198,SAFE
23.49,84.87,0.037,0.267,SAFE
20.35,62.08,0.097,1.039,SAFE
25.21,65.03,0.036,0.534,SAFE
21.81,77.84,0.178,-0.571,SAFE
26.42,80.26,0.5,0.943,WARNING
22.24,63.67,0.143,-0.24,SAFE
29.65,60.34,0.206,-0.989,SAFE
22.65,64.33,0.137,-0.138,SAFE
24.03,69.06,2.252,1.151,WARNING
27.44,75.7,0.03,0.132,SAFE
21.31,65.05,0.054,0.01,SAFE
25.68,72.43,0.197,1.31,SAFE
28.92,84.66,1.282,-1.145,WARNING
20.18,69.58,0.113,-1.028,SAFE
25.55,68.74,0.204,-1.293,SAFE
25.78,46.77,0.036,0.298,SAFE
27.35,40.0,0.16,0.133,SAFE
21.29,69.66,1.63,1.234,WARNING
21.04,63.86,0.184,0.195,SAFE
26.57,58.82,0.086,-0.323,SAFE
25.89,67.92,2.388,0.001,WARNING
25.75,64.28,0.177,0.094,SAFE
26.04,78.53,0.98,-1.337,WARNING
22.96,66.03,1.979,2.168,WARNING
25.7,56.04,0.042,0.416,SAFE
25.88,76.88,0.129,0.168,SAFE
22.86,62.39,0.109,0.492,SAFE
30.6,71.32,1.41,0.568,WARNING
26.42,59.27,0.038,-0.112,SAFE
21.43,57.2,0.117,-0.505,SAFE
26.97,66.01,0.137,0.48,SAFE
22.08,65.15,0.097,0.309,SAFE
27.36,70.76,0.291,-0.648,SAFE
28.48,61.78,0.191,1.135,SAFE
22.54,42.96,0.115,0.235,SAFE
27.89,59.81,1.794,0.584,WARNING
26.24,74.53,0.093,1.114,SAFE
27.47,61.43,0.113,0.018,SAFE
30.69,62.04,0.093,0.254,SAFE
24.26,76.84,0.075,0.648,SAFE
22.74,56.46,0.254,-0.58,SAFE
22.33,46.49,0.237,0.043,SAFE
22.55,63.07,0.132,0.1,SAFE
24.77,59.19,0.103,-0.765,SAFE
26.02,53.41,1.534,1.854,WARNING
25.83,62.9,2.395,-1.126,WARNING
27.48,70.9,0.5,-1.038,WARNING
25.04,64.89,3.873,1.051,WARNING
29.36,68.68,0.109,0.571,SAFE
24.21,86.76,1.079,-0.821,WARNING
33.16,60.89,3.565,0.486,WARNING
26.88,68.34,0.15,1.174,SAFE
22.43,58.89,0.142,-0.024,SAFE
21.79,54.84,2.219,2.079,WARNING
26.45,57.98,0.102,-1.379,SAFE
24.33,59.25,1.362,0.555,WARNING
27.14,69.31,2.065,0.933,WARNING
26.42,93.19,2.082,0.713,WARNING
24.78,56.41,0.049,-0.163,SAFE
22.46,60.0,0.118,-0.232,SAFE
20.46,64.24,0.102,0.355,SAFE
23.66,69.75,0.908,0.653,WARNING
27.57,68.16,0.08,0.482,SAFE
25.64,80.41,0.998,0.832,WARNING
21.26,40.0,0.107,-0.815,SAFE
25.52,40.0,0.388,-0.182,SAFE
26.16,59.05,0.053,-0.752,SAFE
22.35,78.17,0.015,-0.309,SAFE
25.46,46.21,0.11,0.812,SAFE
25.17,40.0,0.152,0.086,SAFE
21.57,71.85,2.914,2.085,WARNING
33.37,77.0,2.731,0.765,WARNING
28.64,56.69,1.707,1.585,WARNING
34.27,59.84,2.56,0.225,WARNING
34.63,57.49,8.788,-0.15,DANGER
22.16,74.91,0.241,1.108,SAFE
29.29,64.72,3.881,2.253,WARNING
33.91,74.71,1.607,1.578,WARNING
31.63,42.93,4.025,0.5,WARNING
34.87,56.97,9.321,1.852,DANGER
44.75,58.89,12.315,0.893,DANGER
32.94,70.68,4.991,1.352,WARNING
33.63,67.74,9.531,2.005,DANGER
32.14,81.67,4.177,0.479,WARNING
33.21,46.87,8.086,1.582,DANGER
31.62,71.36,10.359,2.289,DANGER
33.16,83.22,4.623,-0.599,WARNING
24.92,94.09,10.393,0.863,DANGER
33.56,68.12,12.508,1.373,DANGER
30.76,74.34,12.687,1.391,DANGER
31.43,53.24,11.574,1.932,DANGER
40.7,47.71,10.156,1.959,DANGER
29.59,87.56,4.758,1.008,WARNING
28.7,76.74,5.0,3.019,WARNING
28.38,87.35,8.293,3.814,DANGER
28.18,58.04,13.153,2.619,DANGER
36.82,79.69,5.0,-0.055,WARNING
33.1,93.47,9.512,1.999,DANGER
30.79,77.97,11.21,2.299,DANGER
29.71,79.63,9.92,1.625,DANGER
31.25,77.0,12.268,1.7,DANGER
29.97,57.72,10.39,2.546,DANGER
34.63,91.69,17.791,2.353,DANGER
35.43,72.0,13.005,1.972,DANGER
29.07,82.98,5.0,1.097,WARNING
41.96,60.29,11.17,2.326,DANGER
34.18,57.67,11.687,2.309,DANGER
28.32,82.8,15.46,2.786,DANGER
33.32,74.23,15.072,3.312,DANGER
32.26,90.92,13.044,2.207,DANGER
38.32,76.38,12.035,2.831,DANGER
29.25,55.15,15.552,3.027,DANGER
32.48,93.83,16.062,3.456,DANGER
36.17,72.69,11.492,2.668,DANGER
41.79,87.66,15.6,1.891,DANGER
29.16,81.79,14.723,2.718,DANGER
37.67,61.77,13.17,2.111,DANGER
37.28,79.99,12.539,2.084,DANGER
32.64,95.0,11.279,4.092,DANGER
39.6,82.38,16.485,4.108,DANGER
34.83,80.28,11.871,2.161,DANGER
21.22,77.9,0.106,0.174,SAFE
27.75,67.53,0.791,-0.66,WARNING
31.37,67.51,0.553,0.563,WARNING
28.1,51.9,0.07,-0.062,SAFE
20.44,67.81,0.068,-0.221,SAFE
23.55,77.43,0.09,-0.289,SAFE
28.8,54.97,0.114,-0.05,SAFE
22.88,82.09,4.548,-0.358,WARNING
26.33,63.9,1.064,0.527,WARNING
27.32,54.35,0.038,-0.316,SAFE
22.22,76.97,0.144,1.274,SAFE
24.82,61.56,0.033,1.172,SAFE
15.28,74.11,0.146,-0.713,SAFE
21.93,61.5,0.081,0.056,SAFE
24.24,64.28,3.144,-0.521,WARNING
21.26,70.92,0.201,-0.261,SAFE
29.9,68.49,0.919,1.602,WARNING
20.71,41.05,0.069,-0.246,SAFE
23.68,51.55,0.149,0.288,SAFE
25.39,76.15,0.108,0.433,SAFE
29.32,63.41,0.192,-0.801,SAFE
20.69,58.72,0.145,-0.684,SAFE
28.49,48.7,0.084,-0.965,SAFE
25.03,52.04,0.147,-0.709,SAFE
22.06,40.74,1.868,-2.28,WARNING
26.39,63.78,0.214,0.436,SAFE
25.6,57.82,0.988,1.643,WARNING
23.2,53.4,0.223,0.118,SAFE
25.21,64.18,0.078,-1.133,SAFE
23.84,69.37,0.156,-0.514,SAFE
25.34,90.12,1.388,-0.367,WARNING
26.99,46.86,0.126,-0.814,SAFE
29.76,78.91,0.103,0.688,SAFE
21.29,76.68,0.075,0.648,SAFE
31.4,55.65,3.006,-0.924,WARNING
19.14,67.44,0.159,0.58,SAFE
24.54,59.51,0.162,1.221,SAFE
26.76,67.23,2.652,1.522,WARNING
25.84,83.11,2.462,2.292,WARNING
23.13,72.27,0.107,-0.722,SAFE
24.38,71.1,1.558,2.259,WARNING
23.52,59.84,0.188,-0.283,SAFE
23.23,47.19,0.156,-0.474,SAFE
27.55,62.5,0.053,0.262,SAFE
26.07,79.48,0.13,-0.466,SAFE
22.92,46.67,0.181,0.319,SAFE
27.7,52.34,0.112,-1.056,SAFE
25.92,66.52,0.5,-0.191,SAFE
27.44,53.18,0.139,1.028,SAFE
26.89,55.49,0.182,-0.046,SAFE
22.51,59.92,0.095,0.113,SAFE
23.32,48.61,0.076,0.38,SAFE
27.24,53.31,3.021,0.937,WARNING
26.83,73.44,0.214,-1.324,SAFE
24.94,49.31,0.132,0.468,SAFE
25.35,45.83,0.13,-0.215,SAFE
28.83,57.44,0.052,0.133,SAFE
23.23,73.78,0.038,0.848,SAFE
26.64,62.64,0.152,-0.955,SAFE
24.39,59.43,0.054,-0.81,SAFE
24.35,65.53,0.954,-1.548,WARNING
28.3,44.05,0.135,-0.439,SAFE
27.48,70.94,0.139,1.064,SAFE
27.44,69.6,0.145,-0.096,SAFE
28.92,60.09,0.121,-1.072,SAFE
25.06,77.07,0.044,-0.389,SAFE
27.05,51.47,3.036,-1.19,WARNING
24.07,78.53,0.117,-0.9,SAFE
25.97,66.85,0.243,0.311,SAFE
24.61,60.96,0.218,-0.939,SAFE
25.29,64.76,0.171,0.89,SAFE
26.79,63.71,0.061,-0.057,SAFE
22.55,79.64,0.194,0.068,SAFE
31.28,52.08,1.607,-0.223,WARNING
21.98,55.85,0.133,0.618,SAFE
21.36,77.44,0.1,0.627,SAFE
28.47,57.85,0.041,0.268,SAFE
27.37,75.81,0.073,0.452,SAFE
26.87,85.39,0.089,-0.17,SAFE
26.89,60.18,0.199,0.434,SAFE
24.96,73.18,0.075,-0.27,SAFE
22.31,51.16,0.117,0.002,SAFE
25.23,74.06,0.109,-0.22,SAFE
22.97,67.39,0.099,-0.366,SAFE
27.93,70.68,2.24,-0.551,WARNING
24.56,57.25,0.063,0.374,SAFE
22.52,45.07,0.16,1.048,SAFE
24.04,71.04,0.081,0.937,SAFE
26.24,40.24,0.142,-1.005,SAFE
23.31,61.19,0.078,1.031,SAFE
22.53,76.29,0.247,-0.255,SAFE
25.73,67.3,0.109,0.481,SAFE
25.73,88.38,3.509,-0.725,WARNING
23.48,77.3,0.077,0.114,SAFE
23.59,57.15,0.117,0.251,SAFE
25.7,65.33,0.099,-1.188,SAFE
20.66,64.43,0.273,0.487,SAFE
20.78,46.01,0.15,1.077,SAFE
22.84,53.72,0.047,-0.14,SAFE
24.36,58.27,0.273,1.088,SAFE
25.93,40.57,0.026,-0.152,SAFE
29.43,65.57,0.139,0.68,SAFE
27.57,62.01,3.513,-1.775,WARNING
24.52,44.93,1.684,1.935,WARNING
24.94,69.85,0.15,1.196,SAFE
21.99,73.59,0.182,-0.228,SAFE
24.94,67.72,1.387,-1.578,WARNING
24.13,61.11,0.073,0.23,SAFE
25.97,72.1,1.178,-1.155,WARNING
22.52,73.16,0.03,0.356,SAFE
26.56,68.69,0.186,0.329,SAFE
29.6,55.1,2.489,-0.753,WARNING
24.67,68.32,4.107,0.897,WARNING
26.21,79.35,0.166,0.644,SAFE
27.07,57.84,0.14,0.781,SAFE
23.8,90.18,2.318,0.007,WARNING
25.67,58.69,0.131,-1.132,SAFE
25.04,65.39,1.0,0.782,WARNING
25.29,56.93,0.194,-0.216,SAFE
22.68,67.68,0.175,-1.112,SAFE
25.07,44.09,0.164,1.082,SAFE
26.49,58.45,1.948,1.68,WARNING
29.35,51.89,0.063,-0.033,SAFE
27.88,66.62,1.862,1.727,WARNING
31.46,76.93,0.177,0.073,SAFE
22.7,72.75,0.083,-0.304,SAFE
27.62,40.0,0.107,-0.504,SAFE
25.55,89.5,2.536,1.31,WARNING
31.57,68.54,2.147,-0.624,WARNING
22.58,55.68,0.157,0.588,SAFE
22.48,66.89,0.243,-0.447,SAFE
23.2,67.11,0.163,-0.368,SAFE
18.63,57.0,0.077,0.824,SAFE
23.42,67.38,0.082,-0.304,SAFE
22.72,57.71,0.092,-0.324,SAFE
25.45,60.15,0.131,0.906,SAFE
26.03,56.76,0.093,1.278,SAFE
30.63,47.81,0.787,0.516,WARNING
27.85,66.75,0.114,-0.524,SAFE
23.27,72.02,0.138,-0.408,SAFE
22.3,71.18,3.039,0.064,WARNING
26.48,74.84,0.0,0.257,SAFE
21.04,68.89,0.115,-0.79,SAFE
30.49,58.61,2.16,0.578,WARNING
28.54,75.08,0.085,0.068,SAFE
23.59,48.71,3.46,-1.373,WARNING
19.86,54.19,0.135,-0.743,SAFE
29.06,53.43,0.083,-0.403,SAFE
24.66,77.96,0.167,-0.058,SAFE
28.71,76.31,0.868,1.511,WARNING
20.22,70.85,0.086,0.191,SAFE
23.2,77.86,0.039,-0.673,SAFE
25.02,54.45,0.2,0.177,SAFE
25.14,69.18,0.133,-0.282,SAFE
23.65,63.5,0.204,0.26,SAFE
26.87,75.16,0.105,0.464,SAFE
21.8,63.62,0.197,0.967,SAFE
24.57,60.38,0.229,-0.019,SAFE
25.36,71.49,0.126,1.311,SAFE
26.54,75.51,0.116,0.726,SAFE
27.13,56.98,0.1,-0.566,SAFE
21.63,64.27,7.268,1.768,DANGER
20.4,52.3,0.194,0.262,SAFE
28.83,40.0,0.204,-0.668,SAFE
26.0,67.41,0.283,1.322,SAFE
22.75,72.31,1.291,1.662,WARNING
29.65,68.14,0.09,-0.026,SAFE
25.35,41.61,0.135,-0.403,SAFE
28.54,60.79,0.209,-0.138,SAFE
25.2,40.0,0.125,0.572,SAFE
31.18,81.44,1.186,1.022,WARNING
30.27,51.97,0.252,0.456,SAFE
24.25,80.06,0.126,0.081,SAFE
27.91,76.35,0.153,1.198,SAFE
26.94,54.19,0.103,-0.25,SAFE
29.11,51.41,0.053,0.825,SAFE
22.11,69.2,0.183,-0.23,SAFE
27.06,54.87,0.026,0.345,SAFE
28.18,66.23,0.107,-0.091,SAFE
19.72,59.21,0.315,-0.045,SAFE
21.45,43.63,0.154,-0.302,SAFE
18.88,40.0,4.285,1.076,WARNING
24.19,67.72,3.797,-0.586,WARNING
27.15,58.26,0.115,-0.592,SAFE
29.51,58.36,1.446,1.697,WARNING
25.22,73.35,0.173,0.782,SAFE
29.89,79.08,1.653,-1.908,WARNING
20.86,61.73,0.011,-0.452,SAFE
19.89,60.91,0.173,-1.45,SAFE
24.83,71.0,0.5,-0.761,WARNING
26.15,48.72,9.114,-2.511,DANGER
24.9,67.68,0.085,-0.11,SAFE
18.8,71.62,0.13,-0.914,SAFE
24.73,73.16,0.059,0.048,SAFE
21.09,41.76,3.247,-1.3,WARNING
27.01,55.86,0.149,0.066,SAFE
26.1,54.46,0.161,-0.332,SAFE
22.18,66.2,0.103,1.202,SAFE
23.46,70.77,0.134,1.129,SAFE
21.82,82.96,0.899,0.628,WARNING
24.81,59.06,0.104,-0.261,SAFE
27.87,59.03,1.407,1.588,WARNING
22.04,78.8,0.141,-1.242,SAFE
26.51,68.56,0.123,-1.123,SAFE
23.41,80.21,3.524,-0.067,WARNING
22.62,68.46,0.637,1.803,WARNING
24.68,51.11,0.284,-0.162,SAFE
21.89,49.0,0.051,-0.147,SAFE
23.34,46.38,0.145,-1.154,SAFE
21.41,72.94,0.091,0.757,SAFE
30.89,79.26,1.878,0.763,WARNING
25.11,87.19,1.522,0.631,WARNING
22.9,75.12,0.076,-0.503,SAFE
25.64,78.95,0.04,-0.565,SAFE
24.66,58.04,0.189,-1.034,SAFE
24.34,51.12,0.199,0.067,SAFE
26.84,75.2,0.231,-0.864,SAFE
27.27,70.01,0.021,-0.942,SAFE
23.41,66.29,0.081,-0.339,SAFE
23.27,69.65,0.139,-0.391,SAFE
24.17,68.88,0.147,-0.43,SAFE
18.09,80.41,1.179,0.373,WARNING
20.45,80.54,0.087,0.063,SAFE
29.1,71.53,0.115,-0.231,SAFE
29.93,75.15,0.125,0.146,SAFE
24.25,71.17,0.067,-0.793,SAFE
26.73,59.47,0.158,0.084,SAFE
25.93,74.08,0.098,0.12,SAFE
34.24,48.27,3.151,-1.202,WARNING
28.36,77.65,0.207,0.797,SAFE
24.62,50.67,0.029,-0.705,SAFE
22.13,68.43,2.425,0.072,WARNING
20.18,54.86,2.624,0.932,WARNING
25.61,71.64,0.162,0.741,SAFE
22.73,64.59,0.071,0.027,SAFE
20.73,45.86,0.358,-0.29,SAFE
23.06,70.05,0.136,0.758,SAFE
21.76,58.06,3.231,0.54,WARNING
30.06,75.57,0.049,-0.495,SAFE
27.64,65.02,0.5,-0.636,WARNING
24.98,69.75,1.679,-1.658,WARNING
29.44,53.51,0.087,0.123,SAFE
25.23,57.93,0.128,-0.066,SAFE
22.42,59.5,5.0,0.909,WARNING
29.57,75.28,0.117,0.287,SAFE
26.62,85.13,0.5,1.067,WARNING
21.89,55.34,0.159,-0.558,SAFE
24.43,77.92,0.116,0.911,SAFE
22.37,40.0,0.111,-0.423,SAFE
20.85,50.67,0.188,0.622,SAFE
27.78,53.49,0.287,-1.167,SAFE
30.73,48.77,0.197,0.188,SAFE
20.8,46.0,1.195,-1.588,WARNING
26.69,69.96,0.042,-0.214,SAFE
23.05,62.43,0.301,0.352,SAFE
23.54,69.55,0.17,-0.417,SAFE
23.22,73.29,1.608,-0.84,WARNING
22.41,68.19,0.029,0.677,SAFE
25.15,72.89,0.177,-0.083,SAFE
22.51,64.17,0.126,-0.392,SAFE
25.81,50.76,0.078,0.034,SAFE
24.85,77.69,2.949,2.109,WARNING
24.28,57.93,0.139,0.923,SAFE
22.28,53.77,0.168,0.93,SAFE
23.27,62.86,0.1,0.348,SAFE
27.27,54.05,0.114,0.133,SAFE
26.5,59.99,0.987,-1.917,WARNING
22.07,69.13,0.738,-0.543,WARNING
25.3,69.18,0.124,-0.384,SAFE
27.25,54.23,3.284,-1.5,WARNING
19.99,59.15,2.866,-0.926,WARNING
26.63,77.89,1.063,-1.585,WARNING
23.01,70.96,0.23,-0.031,SAFE
26.71,89.9,1.549,0.655,WARNING
22.71,79.16,4.081,0.885,WARNING
19.59,78.73,0.131,0.332,SAFE
20.12,48.35,0.116,-0.771,SAFE
25.14,74.17,0.937,-1.546,WARNING
25.78,64.36,1.99,-1.405,WARNING
22.29,58.39,3.756,-1.015,WARNING
26.92,67.02,0.196,-0.711,SAFE
20.02,76.34,0.117,-0.128,SAFE
24.8,71.01,0.023,-0.811,SAFE
21.37,54.46,0.182,0.271,SAFE
23.04,73.91,0.093,-0.186,SAFE
25.14,57.35,0.096,0.008,SAFE
22.42,67.6,3.286,0.912,WARNING
23.85,61.36,0.095,-0.944,SAFE
28.02,62.37,0.089,0.335,SAFE
23.27,74.19,0.251,-0.011,SAFE
27.51,52.52,0.073,-0.267,SAFE
21.61,88.34,0.5,0.708,WARNING
26.59,43.15,0.099,0.703,SAFE
29.32,57.83,0.251,-0.757,SAFE
17.59,69.44,0.134,-0.146,SAFE
22.61,72.01,0.284,0.225,SAFE
26.73,63.79,0.212,-0.218,SAFE
24.39,64.31,0.125,0.468,SAFE
26.11,69.93,0.099,0.225,SAFE
23.19,62.23,0.695,1.466,WARNING
25.26,81.72,1.273,-1.224,WARNING
24.53,75.07,0.093,-0.098,SAFE
28.5,75.47,3.522,-0.727,WARNING
25.76,53.41,0.023,0.483,SAFE
26.01,64.05,0.124,-1.294,SAFE
23.76,61.39,0.082,0.277,SAFE
23.54,52.93,1.183,-0.504,WARNING
23.7,69.32,0.084,-0.587,SAFE
26.18,58.55,0.06,-1.157,SAFE
23.74,72.86,0.155,-0.372,SAFE
25.87,52.16,0.251,0.868,SAFE
31.23,85.63,0.774,-0.02,WARNING
27.61,54.24,0.122,0.502,SAFE
24.02,67.63,0.235,1.332,SAFE
28.6,74.5,0.212,0.211,SAFE
23.78,58.15,0.103,-0.447,SAFE
18.89,75.23,0.194,0.374,SAFE
21.98,50.25,0.139,-0.435,SAFE
19.39,82.43,0.136,-0.404,SAFE
23.95,65.17,0.245,-1.216,SAFE
25.06,57.84,0.098,0.741,SAFE
30.03,61.41,0.064,-0.309,SAFE
25.98,74.71,0.046,0.146,SAFE
24.34,57.99,0.105,-0.829,SAFE
27.49,56.01,0.088,0.349,SAFE
18.37,62.34,5.0,-0.61,WARNING
25.71,50.88,0.069,-0.113,SAFE
27.31,86.85,0.777,0.702,WARNING
20.56,58.2,0.103,0.633,SAFE
28.43,74.98,2.773,-0.018,WARNING
26.02,67.51,0.201,-1.415,SAFE
23.75,53.19,1.61,2.394,WARNING
26.9,64.93,2.617,1.397,WARNING
31.81,74.41,0.621,0.578,WARNING
25.55,62.74,0.077,-0.603,SAFE
25.74,79.32,0.081,-0.091,SAFE
23.62,77.26,0.11,-0.435,SAFE
22.45,76.03,0.042,1.011,SAFE
27.49,59.48,0.181,0.21,SAFE
22.43,52.04,0.076,-0.627,SAFE
25.21,57.64,0.095,-0.377,SAFE
23.57,67.35,0.14,0.897,SAFE
26.44,71.55,0.17,1.28,SAFE
26.0,40.0,0.116,1.223,SAFE
28.11,64.9,2.975,0.606,WARNING
23.47,66.9,0.046,-0.202,SAFE
24.19,61.67,2.574,-2.593,WARNING
22.06,80.5,0.119,0.238,SAFE
23.67,70.06,0.043,-0.001,SAFE
26.13,80.72,0.115,0.112,SAFE
36.6,70.16,9.328,1.64,DANGER
29.41,80.45,2.822,0.615,WARNING
34.78,87.9,4.052,0.497,WARNING
36.59,82.89,6.92,1.229,DANGER
29.5,58.48,2.753,1.895,WARNING
33.5,64.47,9.395,2.206,DANGER
25.84,72.16,0.234,1.296,SAFE
29.38,72.83,9.797,0.696,DANGER
24.08,80.07,2.076,0.847,WARNING
32.56,65.77,4.39,1.356,WARNING
31.73,73.88,7.346,1.938,DANGER
30.05,47.68,8.835,1.692,DANGER
32.14,85.92,9.654,2.319,DANGER
27.95,61.35,4.359,2.6,WARNING
36.57,74.75,9.638,2.696,DANGER
32.71,72.7,13.024,1.853,DANGER
30.06,84.46,8.016,-1.203,DANGER
32.94,43.73,9.352,2.846,DANGER
33.96,64.7,3.441,0.365,WARNING
30.59,68.19,2.757,0.607,WARNING
27.76,66.75,4.547,1.599,WARNING
33.93,95.0,9.226,1.195,DANGER
35.32,64.16,9.484,1.51,DANGER
34.72,83.09,4.533,0.564,WARNING
37.41,76.11,2.969,0.388,WARNING
34.16,86.55,7.171,2.805,DANGER
29.89,69.5,3.702,2.929,WARNING
32.28,65.22,13.365,2.499,DANGER
33.0,80.39,14.861,1.76,DANGER
32.97,76.75,14.974,0.984,DANGER
27.05,52.68,4.648,1.737,WARNING
36.49,65.81,6.605,2.716,DANGER
32.19,80.38,9.28,3.121,DANGER
31.04,83.91,3.866,0.07,WARNING
29.87,65.92,3.621,0.832,WARNING
26.63,53.37,11.042,0.778,DANGER
34.87,78.75,4.85,1.001,WARNING
30.11,65.63,13.64,3.183,DANGER
27.9,48.59,9.608,2.65,DANGER
31.36,50.2,9.486,2.076,DANGER
32.16,83.99,14.297,1.761,DANGER
37.56,77.1,13.526,1.407,DANGER
35.67,73.94,13.927,1.565,DANGER
25.49,93.41,16.063,3.681,DANGER
29.83,80.96,10.953,2.226,DANGER
35.46,91.72,12.81,3.72,DANGER
24.91,66.62,9.521,2.231,DANGER
32.33,74.08,11.058,0.603,DANGER
29.95,58.77,4.367,0.45,WARNING
36.09,68.63,16.122,1.84,DANGER
39.8,72.51,15.358,2.697,DANGER
34.42,83.59,12.601,2.982,DANGER
